id,fundraising_categories_id,organization_id,title,content,status,current_progress,goal_amount,start_date,end_date,image_url,created_at,updated_at,deleted_at
1,1,1,Edukasi Anak Miskin di Pedalaman Sumatra,"Program ini bertujuan untuk memberikan akses pendidikan kepada anak-anak miskin di pedalaman Sumatra yang tidak mampu mengakses sekolah. Dukung mereka untuk memiliki masa depan yang lebih baik!",active,15000,50000,2024-06-01,2024-12-31,http://example.com/edukasi_anak_miskin.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
2,2,2,Bantuan Korban Gempa Bumi Palu,"Bantu korban gempa bumi di Palu untuk mendapatkan perlindungan, makanan, dan tempat tinggal sementara. Setiap donasi sangat berarti bagi mereka yang kehilangan segalanya.",active,30000,100000,2024-06-15,2024-09-15,http://example.com/bantuan_korban_gempa.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
3,3,3,Makanan untuk Pengungsi Perang,"Puluhan ribu pengungsi perang membutuhkan bantuan makanan di kamp-kamp pengungsian. Dukungan Anda akan membantu mereka bertahan hidup di masa sulit ini.",active,20000,50000,2024-06-10,2024-08-31,http://example.com/makanan_pengungsi_perang.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
4,4,4,Perlindungan Hutan Hujan Amazon,"Dukung upaya kami untuk menjaga hutan hujan Amazon, paru-paru dunia, dari penebangan liar dan kebakaran hutan yang merusak.",active,45000,100000,2024-06-01,2024-12-31,http://example.com/perlindungan_hutan_amazon.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
5,1,5,Bantuan Pendidikan untuk Anak-anak Rohingya,"Anak-anak Rohingya di kamp-kamp pengungsian butuh akses pendidikan. Bantu kami menyediakan buku, alat tulis, dan guru untuk mereka belajar.",active,25000,75000,2024-06-05,2024-10-15,http://example.com/bantuan_pendidikan_rohingya.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
6,2,6,Rekonstruksi Rumah Pasca Banjir Bandang,"Bantu kami membangun kembali rumah-rumah yang hancur akibat banjir bandang di daerah terdampak. Setiap donasi Anda akan membuat perbedaan.",active,35000,150000,2024-06-20,2024-10-31,http://example.com/rekonstruksi_rumah_banjir_bandang.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
7,3,7,Bantuan Kesehatan untuk Lansia Miskin,"Lansia miskin sering kali tidak mendapatkan akses yang memadai ke layanan kesehatan. Bantu kami memberikan perawatan dan obat-obatan yang mereka butuhkan.",active,18000,40000,2024-06-03,2024-09-30,http://example.com/bantuan_kesehatan_lansia.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
8,4,8,Pembersihan Pantai untuk Konservasi Laut,"Mari bersama-sama membersihkan pantai-pantai dari sampah plastik dan limbah lainnya untuk menjaga kelestarian lingkungan laut kita.",active,50000,80000,2024-06-01,2024-12-31,http://example.com/pembersihan_pantai.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
9,1,9,Pemberdayaan Petani Miskin di Afrika,"Bantu petani miskin di Afrika mendapatkan akses ke teknologi, pelatihan, dan pasar agar mereka dapat meningkatkan produktivitas dan pendapatan mereka.",active,28000,60000,2024-06-08,2024-11-15,http://example.com/pemberdayaan_petani_afrika.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
10,2,10,Bantuan Rehabilitasi untuk Korban Tsunami,"Korban tsunami membutuhkan bantuan dalam pemulihan fisik dan mental mereka. Dukung program rehabilitasi kami untuk membantu mereka pulih dan bangkit kembali.",active,32000,120000,2024-06-25,2024-10-31,http://example.com/bantuan_rehabilitasi_tsunami.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
11,3,11,Bantuan Pendidikan untuk Anak-anak Jalanan,"Anak-anak jalanan membutuhkan akses pendidikan dan pelatihan keterampilan untuk mengubah masa depan mereka. Dukung program kami untuk memberikan harapan bagi mereka.",active,21000,45000,2024-06-04,2024-09-30,http://example.com/bantuan_pendidikan_jalanan.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
12,4,12,Pemulihan Hutan Bakar di Australia,"Hutan-hutan di Australia telah rusak parah akibat kebakaran. Bantu kami menanam kembali pohon-pohon yang hilang untuk memulihkan ekosistem yang terganggu.",active,48000,90000,2024-06-01,2024-12-31,http://example.com/pemulihan_hutan_australia.jpg,2024-05-28 08:00:00,2024
13,1,13,Program Beasiswa untuk Anak-anak Berbakat,"Dukung program beasiswa kami yang bertujuan memberikan kesempatan pendidikan yang lebih baik bagi anak-anak berbakat dari keluarga tidak mampu.",active,27000,70000,2024-06-12,2024-11-30,http://example.com/beasiswa_anak_berbakat.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
14,2,14,Bantuan Medis Darurat untuk Korban Perang,"Korban perang membutuhkan bantuan medis segera. Dukung kami dalam menyediakan peralatan medis dan perawatan yang diperlukan untuk menyelamatkan nyawa.",active,33000,80000,2024-06-18,2024-10-15,http://example.com/bantuan_medis_korban_perang.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
15,3,15,Bantuan Pangan untuk Kelaparan di Afrika Timur,"Jutaan orang di Afrika Timur mengalami kelaparan akut. Dukung kami dalam menyediakan bantuan pangan yang mendesak untuk menyelamatkan nyawa mereka.",active,19000,60000,2024-06-02,2024-09-30,http://example.com/bantuan_pangan_afrika_timur.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
16,4,16,Konservasi Penyu Laut di Pulau Sipadan,"Bantu kami melindungi habitat penyu laut yang terancam punah di Pulau Sipadan. Setiap donasi akan mendukung program konservasi kami.",active,51000,95000,2024-06-01,2024-12-31,http://example.com/konservasi_penyu_sipadan.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
17,1,17,Bantuan Pendidikan untuk Anak-anak Tunanetra,"Anak-anak tunanetra juga berhak mendapatkan akses pendidikan. Dukung program kami untuk menyediakan layanan pendidikan yang inklusif bagi mereka.",active,24000,65000,2024-06-08,2024-11-15,http://example.com/bantuan_pendidikan_tunanetra.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
18,2,18,Bantuan Kesehatan Mental untuk Korban Trauma,"Korban trauma perlu mendapatkan bantuan kesehatan mental yang komprehensif. Dukung program kami untuk memberikan layanan psikologis yang mereka butuhkan.",active,36000,85000,2024-06-20,2024-10-31,http://example.com/bantuan_kesehatan_mental_trauma.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
19,3,19,Program Air Bersih untuk Desa Terpencil,"Banyak desa terpencil masih kekurangan akses air bersih. Dukung kami dalam menyediakan sistem air bersih yang dapat meningkatkan kesehatan dan kesejahteraan masyarakat desa.",active,22000,50000,2024-06-05,2024-09-30,http://example.com/program_air_bersih.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
20,4,20,Pelestarian Harimau Sumatra,"Harimau Sumatra merupakan spesies yang terancam punah. Dukung upaya kami dalam melindungi habitat mereka dan mengurangi konflik dengan manusia.",active,49000,120000,2024-06-01,2024-12-31,http://example.com/pelestarian_harimau_sumatra.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
21,1,21,Bantuan Pendidikan untuk Anak-anak Pengungsi,"Anak-anak pengungsi membutuhkan akses pendidikan yang stabil. Dukung program kami untuk memberikan pendidikan dasar yang berkualitas bagi mereka.",active,26000,70000,2024-06-10,2024-11-30,http://example.com/bantuan_pendidikan_pengungsi.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
22,2,22,Bantuan Makanan untuk Warga Tertimpa Bencana,"Warga yang tertimpa bencana membutuhkan bantuan makanan yang cukup. Dukung kami dalam menyediakan paket makanan siap saji bagi mereka.",active,34000,90000,2024-06-15,2024-10-15,http://example.com/bantuan_makanan_bencana.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
23,3,23,Bantuan Pengobatan untuk Anak-anak Kanker,"Anak-anak yang menderita kanker membutuhkan biaya pengobatan yang besar. Dukung program kami untuk memberikan bantuan medis kepada mereka.",active,20000,55000,2024-06-03,2024-09-30,http://example.com/bantuan_pengobatan_kanker.jpg,2024-05-28 08:00:00,2024-05-28 08:00:00,
24,4,24,Konservasi Hutan Mangrove di Pantai Timur,"Hutan mangrove di pantai timur berperan penting dalam menjaga ekosistem pesisir. Dukung upaya kami dalam pelestariannya.",active,53000,100000,2024-06-01,2024-12-31,http://example.com/konservasi_mangrove_pantai_timur.jpg,2024-05-28 08:00:00,2024-05-28 08
