id,created_at,deleted_at,title,image_url,description,status,goal_amount,current_progress,start_date,end_date
40,2024-06-09,2024-06-09,Perbaikan Pusat Kesehatan Masyarakat di Daerah Terpencil,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717922616/tiddpjr0qepzzy6bbl0k.jpg,Program ini bertujuan untuk memperbaiki dan melengkapi pusat-pusat kesehatan masyarakat di daerah terpencil dengan fasilitas dan obat-obatan yang memadai.,aktif,10000000,0,2024-07-01,2025-08-08
44,2024-06-09,2024-06-09,Lembaga Pendidikan untuk Anak Berkebutuhan Khusus,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717923609/n3jyeeszlb9dvjorqqpq.jpg,Penggalangan dana untuk mendirikan lembaga pendidikan bagi anak-anak berkebutuhan khusus di Indonesia.,aktif,10000000,0,2024-07-01,2025-08-08
1,2024-06-04,,Bantu Banjir Demak Kembali Pulih,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717434713/207b189d6e16fc148cdb00e012761fda_lscboi.jpg,"Program ini mengajak seluruh lapisan masyarakat untuk berpartisipasi dalam memberikan bantuan berupa kebutuhan pokok, obat-obatan, pakaian, serta bantuan finansial guna mendukung pemulihan dan rehabilitasi wilayah yang terkena dampak. Melalui kolaborasi dengan berbagai organisasi kemanusiaan dan relawan, kegiatan ini diharapkan dapat meringankan beban para korban banjir. Tujuan bantuan ini adalah untuk mempercepat penanganan darurat bencana banjir yang telah merendam sebagian besar wilayah Demak. Banjir di Kabupaten Demak menjadi peringatan bagi pemerintah dan masyarakat untuk meningkatkan kesiapsiagaan dan penanganan bencana.Harapannya kondisi segera membaik dan masyarakat bisa kembali normal dengan bantuan dan kepedulian dari lembaga seperti BIN.",aktif,15000000,1000000,2024-06-13,2024-07-22
2,2024-06-04,,Anak 2 Tahun Idap Gizi Buruk,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717470311/a33507bd581d370295298e4267ad7b76_s4lmpn.png,"Program ini bertujuan untuk membantu seorang anak berusia 2 tahun yang menderita gizi buruk. Kami mengajak seluruh lapisan masyarakat untuk berpartisipasi dalam memberikan bantuan berupa kebutuhan pokok, obat-obatan, pakaian, serta bantuan finansial guna mendukung pemulihan kesehatan anak tersebut. Melalui kolaborasi dengan berbagai organisasi kemanusiaan dan relawan, kegiatan ini diharapkan dapat mempercepat proses penyembuhan dan pemulihan kondisi kesehatan anak tersebut. Gizi buruk merupakan masalah serius yang mempengaruhi perkembangan fisik dan mental anak, dan dengan bantuan serta kepedulian dari masyarakat, diharapkan anak ini dapat mendapatkan perawatan yang diperlukan untuk tumbuh kembang yang optimal.",aktif,5000000,1500000,2024-06-15,2024-07-28
3,2024-06-04,,Bantu Masa Depan Warga Pelosok,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717470686/95ff7a4b714cd189bf79fb36e5849324_anjadp.jpg,"Program ini bertujuan untuk membantu meningkatkan kualitas hidup warga di daerah pelosok yang seringkali terabaikan. Kami mengajak seluruh lapisan masyarakat untuk berpartisipasi dalam memberikan bantuan berupa kebutuhan pokok, pendidikan, fasilitas kesehatan, serta bantuan finansial guna mendukung pembangunan dan pengembangan wilayah tersebut. Melalui kolaborasi dengan berbagai organisasi kemanusiaan dan relawan, kegiatan ini diharapkan dapat memperbaiki kondisi hidup warga pelosok dan memberikan mereka kesempatan untuk masa depan yang lebih baik. Bantuan ini akan difokuskan pada penyediaan akses pendidikan yang layak, layanan kesehatan yang memadai, serta pembangunan infrastruktur dasar yang sangat dibutuhkan. Dengan bantuan serta kepedulian dari masyarakat, kita dapat bersama-sama membangun masa depan yang lebih cerah bagi warga di daerah pelosok. Mari kita berikan mereka kesempatan untuk berkembang dan hidup sejahtera.",aktif,30000000,0,2024-06-20,2024-06-27
4,2024-06-05,2024-06-05,Bantu Masa Depan ,https://res.cloudinary.com,Program ini bertujuan untuk membantu ,aktif,35000000,0,2024-06-20,2024-06-27
5,2024-06-05,2024-06-05,Bantu Masa Depan Warga Pelosok,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717470686/95ff7a4b714cd189bf79fb36e5849324_anjadp.jpg,"Program ini bertujuan untuk membantu meningkatkan kualitas hidup warga di daerah pelosok yang seringkali terabaikan. Kami mengajak seluruh lapisan masyarakat untuk berpartisipasi dalam memberikan bantuan berupa kebutuhan pokok, pendidikan, fasilitas kesehatan, serta bantuan finansial guna mendukung pembangunan dan pengembangan wilayah tersebut. Melalui kolaborasi dengan berbagai organisasi kemanusiaan dan relawan, kegiatan ini diharapkan dapat memperbaiki kondisi hidup warga pelosok dan memberikan mereka kesempatan untuk masa depan yang lebih baik. Bantuan ini akan difokuskan pada penyediaan akses pendidikan yang layak, layanan kesehatan yang memadai, serta pembangunan infrastruktur dasar yang sangat dibutuhkan. Dengan bantuan serta kepedulian dari masyarakat, kita dapat bersama-sama membangun masa depan yang lebih cerah bagi warga di daerah pelosok. Mari kita berikan mereka kesempatan untuk berkembang dan hidup sejahtera.",aktif,30000000,0,2024-06-20,2024-07-27
64,2024-06-12,,Bantuan Pendidikan Untuk Anak Yatim,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1718234664/pxahjpegmi58g5ze4jud.png,Program ini fokus pada pemberian bantuan pendidikan bagi anak yatim di berbagai wilayah di Indonesia.,aktif,10000000,0,2024-06-13,2025-06-26
6,2024-06-06,,Beasiswa Peradaban,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582923/e.1_wcqp7h.jpg,"Program ini bertujuan memberikan beasiswa kepada siswa berprestasi dari keluarga kurang mampu, terutama yang berada di pesantren.",aktif,50000000,10839999,2024-01-01,2024-12-31
12,2024-06-06,,Bantuan Darurat untuk Korban Banjir di Jakarta,https://res.cloudinary.com/dvrhf8d9t/image/upload/v1717582967/b.1_fxd1gn.jpg,"Program ini bertujuan untuk memberikan bantuan darurat kepada korban banjir di Jakarta, termasuk penyediaan makanan, air bersih, dan tempat penampungan sementara.",aktif,10000000,2452000,2024-01-01,2024-03-31
